risk,percent
Aging-related spending pressures,63
Banking sector contingent liabilities,39
Trade tension & geoeconomic fragmentation,37
Other contingent liabilities,34
Interest rate & refinancing risks,34
Climate transition & mitigation costs,29
Commodity price volatility,27
Defense spending pressures,24
Real estate market correction,20
Growth shocks,20
