date,ten_yr,three_mo
2010-07-07,42.21,50.79
2010-07-08,42.08,51.35
2010-07-09,41.01,51.2
2010-07-12,40.48,51.32
2010-07-13,40.71,50.86
2010-07-14,39.86,50.96
2010-07-15,39.39,51.14
2010-07-16,38.62,51.04
2010-07-19,38.37,50.77
2010-07-20,37.9,51.18
2010-07-21,36.67,51.83
2010-07-22,35.63,51.91
2010-07-23,35.03,51.66
2010-07-26,34.13,51.52
2010-07-27,33.09,51.98
2010-07-28,33.59,52.7
2010-07-29,32.74,52.71
2010-07-30,31.8,52.72
2010-08-02,31.7,51.79
2010-08-03,31.62,50.99
2010-08-04,31.57,50.46
2010-08-05,30.81,49.9
2010-08-06,29.83,48.85
2010-08-09,29.63,47.31
2010-08-10,29.49,46.19
2010-08-11,29.94,45.27
2011-01-03,30.08,45.1
2011-01-04,30.66,44.09
2011-01-05,30.89,43.45
2011-01-06,31.71,42.97
2011-01-07,31.91,42.64
2011-01-10,32.08,43.05
2011-01-11,32.05,42.78
2011-01-12,31.9,41.7
2011-01-13,32.51,41.64
2011-01-14,33.14,41.31
2011-01-17,33.97,40.86
2011-01-18,34.17,40.66
2011-01-19,34.08,40.41
2011-01-20,34.46,39.26
2011-01-21,34.6,38.84
2011-01-24,34.04,38.1
2011-01-25,33.64,37.79
2011-01-26,33.08,37.64
2011-01-27,32.35,36.31
2011-01-28,31.77,36.45
2011-01-31,30.92,36.54
2011-02-01,30.23,36.12
2011-02-02,29.46,36.31
2011-02-03,28.54,36.92
2011-02-04,28.08,37.45
2011-02-07,27.53,37.71
2011-02-08,26.28,38.06
2011-02-09,25.43,38.73
2011-02-10,25.15,39.59
2011-02-11,25.36,40.43
2011-02-14,25.71,40.81
2011-02-15,25.78,41.51
2011-02-16,25.91,41.53
2011-02-17,26.77,41.97
2011-02-18,26.93,41.98
2011-02-21,27.38,41.18
2011-02-22,27.4,40.98
2011-02-23,27.34,40.52
2011-02-24,27.35,40.53
2011-02-25,27.43,40.34
2011-02-28,27.38,39.9
2011-03-01,27.6,39.46
