Label,Value
2014–19 fiscal gap,1.19
CHN,-0.61
USA,-0.41
DEU,-0.23
JPN,0.15
ARG,0.11
BRA,0.06
ESP,0.05
SAU,0.05
KOR,-0.04
IND,0.04
Others,-0.26
2024–29 fiscal gap,0.1
