date,germany_10y,germany_30y,japan_10y,japan_30y,uk_10y,uk_30y,us_10y,us_30y
1980-09-11,,,,,,,11.322,
1980-09-12,,,,,,,11.372,
1980-09-15,,,,,,,11.622,
1980-09-16,,,,,,,11.522,
1980-09-17,,,,,,,11.572,
1980-09-18,,,,,,,11.532,
1980-09-19,,,,,,,11.332,
1980-09-22,,,,,,,11.692,
1980-09-23,,,,,,,11.762,
1980-09-24,,,,,,,11.752,
1980-09-25,,,,,,,11.912,
1980-09-26,,,,,,,11.992,
1980-09-29,,,,,,,12.072,
1980-09-30,,,,,,,11.862,
1980-10-01,,,,,,,11.782,
1980-10-02,,,,,,,11.832,
1980-10-03,,,,,,,11.402,
1980-10-06,,,,,,,11.352,
1980-10-07,,,,,,,11.432,
1980-10-08,,,,,,,11.512,
1980-10-09,,,,,,,11.392,
1980-10-10,,,,,,,11.442,
1980-10-14,,,,,,,11.372,
1980-10-15,,,,,,,11.292,
1980-10-16,,,,,,,11.472,
1980-10-17,,,,,,,11.622,
1980-10-20,,,,,,,11.642,
1980-10-21,,,,,,,11.702,
1980-10-22,,,,,,,11.882,
1980-10-23,,,,,,,11.822,
1980-10-24,,,,,,,11.742,
1980-10-27,,,,,,,12.132,
1980-10-28,,,,,,,12.322,
1980-10-29,,,,,,,12.482,
1980-10-30,,,,,,,12.482,
1980-10-31,,,,,,,12.462,
1980-11-03,,,,,,,12.462,
1980-11-05,,,,,,,12.612,
1980-11-06,,,,,,,13.042,
1980-11-07,,,,,,,12.662,
1980-11-10,,,,,,,12.782,
1980-11-12,,,,,,,12.472,
1980-11-13,,,,,,,12.492,
1980-11-14,,,,,,,12.792,
1980-11-17,,,,,,,12.952,
1980-11-18,,,,,,,12.622,
1980-11-19,,,,,,,12.512,
1980-11-20,,,,,,,12.592,
1980-11-21,,,,,,,12.802,
1980-11-24,,,,,,,12.762,
1980-11-25,,,,,,,12.742,
1980-11-26,,,,,,,12.652,
1980-11-28,,,,,,,12.722,
1980-12-01,,,,,,,12.922,
1980-12-02,,,,,,,12.952,
1980-12-03,,,,,,,12.922,
1980-12-04,,,,,,,12.912,
1980-12-05,,,,,,,12.852,
1980-12-08,,,,,,,12.912,
1980-12-09,,,,,,,13.102,
1980-12-10,,,,,,,13.152,
1980-12-11,,,,,,,13.572,
1980-12-12,,,,,,,13.212,
1980-12-15,,,,,,,13.252,
1980-12-16,,,,,,,13.512,
1980-12-17,,,,,,,13.282,
1980-12-18,,,,,,,13.222,
1980-12-19,,,,,,,12.642,
1980-12-22,,,,,,,12.142,
1980-12-23,,,,,,,12.352,
1980-12-24,,,,,,,12.422,
1980-12-26,,,,,,,12.252,
1980-12-29,,,,,,,12.202,
1980-12-30,,,,,,,12.392,
1980-12-31,,,,,,,12.432,
1981-01-02,,,,,,,12.422,
1981-01-05,,,,,,,12.152,
1981-01-06,,,,,,,12.112,
1981-01-07,,,,,,,12.382,
1981-01-08,,,,,,,12.352,
1981-01-09,,,,,,,12.572,
1981-01-12,,,,,,,12.452,
1981-01-13,,,,,,,12.532,
1981-01-14,,,,,,,12.532,
1981-01-15,,,,,,,12.622,
1981-01-16,,,,,,,12.532,
1981-01-19,,,,,,,12.642,
1981-01-20,,,,,,,12.502,
1981-01-21,,,,,,,12.772,
1981-01-22,,,,,,,12.872,
1981-01-23,,,,,,,12.842,
1981-01-26,,,,,,,12.702,
1981-01-27,,,,,,,12.732,
1981-01-28,,,,,,,12.772,
1981-01-29,,,,,,,12.802,
1981-01-30,,,,,,,12.682,
1981-02-02,,,,,,,12.862,
1981-02-03,,,,,,,12.982,
1981-02-04,,,,,,,12.862,
1981-02-05,,,,,,,12.952,
1981-02-06,,,,,,,13.092,
1981-02-09,,,,,,,13.212,
1981-02-10,,,,,,,13.272,
1981-02-11,,,,,,,13.422,
1981-02-13,,,,,,,13.652,
1981-02-17,,,,,,,13.332,
1981-02-18,,,,,,,13.302,
1981-02-19,,,,,,,13.092,
1981-02-20,,,,,,,12.902,
1981-02-23,,,,,,,13.192,
1981-02-24,,,,,,,13.212,
1981-02-25,,,,,,,13.292,
1981-02-26,,,,,,,13.472,
1981-02-27,,,,,,,13.432,
1981-03-02,,,,,,,13.622,
1981-03-03,,,,,,,13.432,
1981-03-04,,,,,,,13.452,
1981-03-05,,,,,,,13.432,
1981-03-06,,,,,,,13.202,
1981-03-09,,,,,,,13.092,
1981-03-10,,,,,,,13.082,
1981-03-11,,,,,,,13.122,
1981-03-12,,,,,,,13.032,
1981-03-13,,,,,,,12.862,
1981-03-16,,,,,,,12.852,
1981-03-17,,,,,,,12.682,
1981-03-18,,,,,,,12.582,
1981-03-19,,,,,,,12.672,
1981-03-20,,,,,,,12.772,
1981-03-23,,,,,,,13.132,
1981-03-24,,,,,,,13.302,
1981-03-25,,,,,,,13.212,
1981-03-26,,,,,,,13.342,
1981-03-27,,,,,,,13.362,
1981-03-30,,,,,,,13.222,
1981-03-31,,,,,,,13.132,
1981-04-01,,,,,,,13.142,
1981-04-02,,,,,,,13.252,
1981-04-03,,,,,,,13.402,
1981-04-06,,,,,,,13.742,
1981-04-07,,,,,,,13.412,
1981-04-08,,,,,,,13.612,
1981-04-09,,,,,,,13.452,
